manufacture,model_code,raw_data
vivo,V2419,vivo V2419
Huawei,JKM-LX3,Huawei JKM-LX3
xiaomi,Redmi 7,xiaomi Redmi 7
motorola,moto g15,motorola moto g15
samsung,SM-M156B,samsung SM-M156B
samsung,SM-G991N,samsung SM-G991N
BLU,Studio Mini 2023,BLU Studio Mini 2023
OUKITEL,C37,OUKITEL C37
HUAWEI,JAT-LX3,HUAWEI JAT-LX3
Nokia,Nokia C20,Nokia Nokia C20
samsung,SM-F721U,samsung SM-F721U
ZTE,ZTE 9000,ZTE ZTE 9000
samsung,SM-A065M,samsung SM-A065M
POCO,23122PCD1G,POCO 23122PCD1G
Samsung,SM-A037M,Samsung SM-A037M
Xiaomi,M2101K9AG,Xiaomi M2101K9AG
Redmi,M2101K7AG,Redmi M2101K7AG
Google Inc.,Nubia 6010,Google Inc. Nubia 6010
ZUUM,STELLAR M5,ZUUM STELLAR M5
BLU,K10 PRO,BLU K10 PRO
realme,RMX3231,realme RMX3231
Ulefone,Armor 22,Ulefone Armor 22
HUAWEI,ANE-LX3,HUAWEI ANE-LX3
Google Inc.,V2139,Google Inc. V2139
Huawei,PPA-LX3,Huawei PPA-LX3
Redmi,21121119SG,Redmi 21121119SG
Motorola,moto g24 power,Motorola moto g24 power
OPPO,CPH2689,OPPO CPH2689
samsung,SM-A145F,samsung SM-A145F
HUAWEI,BLK-LX9,HUAWEI BLK-LX9
Huawei,NEN-LX3,Huawei NEN-LX3
samsung,SM-J410G,samsung SM-J410G
UMIDIGI,Power 3,UMIDIGI Power 3
google,Pixel 5,google Pixel 5
motorola,moto e(7) plus,motorola moto e(7) plus
Samsung,SM-A155M,Samsung SM-A155M
Samsung,SM-A135M,Samsung SM-A135M
Samsung,SM-S928B,Samsung SM-S928B
Samsung,SM-A326U,Samsung SM-A326U
samsung,SM-A325M,samsung SM-A325M
Motorola,moto g54 5G,Motorola moto g54 5G
OPPO,CPH2697,OPPO CPH2697
samsung,SM-A045F,samsung SM-A045F
Reno12 Pro,Reno12 Pro,Reno12 Pro Reno12 Pro
realme,RMX3624,realme RMX3624
Xiaomi,22031116BG,Xiaomi 22031116BG
DOOGEE,V Max,DOOGEE V Max
Xiaomi,2112123AG,Xiaomi 2112123AG
motorola,moto g23,motorola moto g23
HUAWEI,YAL-L21,HUAWEI YAL-L21
ZTE,ZTE 7060,ZTE ZTE 7060
OnePlus,NE2213,OnePlus NE2213
motorola,moto g(6) plus,motorola moto g(6) plus
motorola,moto e20,motorola moto e20
realme,RMX3939,realme RMX3939
HUAWEI,ICL-LX9,HUAWEI ICL-LX9
Huawei,STK-LX3,Huawei STK-LX3
UMIDIGI,A9 Pro,UMIDIGI A9 Pro
HONOR,DUA-LX3,HONOR DUA-LX3
S23 Ultra,pop,S23 Ultra pop
motorola,moto g(9) play,motorola moto g(9) play
samsung,SM-A057M,samsung SM-A057M
Nokia,Nokia 2,Nokia Nokia 2
motorola,motorola razr plus 2023,motorola motorola razr plus 2023
Motorola,moto g72,Motorola moto g72
Redmi,22101320G,Redmi 22101320G
Xiaomi,23129RA5FL,Xiaomi 23129RA5FL
Infinix,Infinix X678B,Infinix Infinix X678B
motorola,moto z4,motorola moto z4
Samsung,SM-A556E,Samsung SM-A556E
xiaomi,Redmi Note 8,xiaomi Redmi Note 8
samsung,SM-A032M,samsung SM-A032M
Google Inc.,V2352,Google Inc. V2352
realme,RMX3941,realme RMX3941
Realme,RMX3760,Realme RMX3760
Samsung,SM-A025M,Samsung SM-A025M
samsung,SM-A245M,samsung SM-A245M
vivo,V2333,vivo V2333
samsung,SM-A035M,samsung SM-A035M
Huawei,MGA-LX3,Huawei MGA-LX3
POCO,2312FPCA6G,POCO 2312FPCA6G
Huawei,WKG-LX9,Huawei WKG-LX9
motorola,moto g04,motorola moto g04
POCO,M2007J20CG,POCO M2007J20CG
Redmi,24049RN28L,Redmi 24049RN28L
Motorola,moto g32,Motorola moto g32
Redmi,2212ARNC4L,Redmi 2212ARNC4L
Motorola,moto g71 5G,Motorola moto g71 5G
google,Pixel 4a (5G),google Pixel 4a (5G)
Redmi,220233L2G,Redmi 220233L2G
CUBOT,KINGKONG_ES,CUBOT KINGKONG_ES
motorola,moto g82 5G,motorola moto g82 5G
Redmi,24090RA29G,Redmi 24090RA29G
HONOR,NDL-L03,HONOR NDL-L03
google,Pixel 4,google Pixel 4
Asus,ASUS_I005DA,Asus ASUS_I005DA
Motorola,moto g62 5G,Motorola moto g62 5G
Samsung,SM-S711B,Samsung SM-S711B
Redmi,2303ERA42L,Redmi 2303ERA42L
UMIDIGI,MP05,UMIDIGI MP05
HONOR,GFY-LX3,HONOR GFY-LX3
Samsung,SM-A217M,Samsung SM-A217M
motorola,moto g85 5G,motorola moto g85 5G
Samsung,SM-A546E,Samsung SM-A546E
HUAWEI,CTR-LX3,HUAWEI CTR-LX3
Motorola,moto e13,Motorola moto e13
samsung,SM-A426U1,samsung SM-A426U1
Samsung,SM-A045M,Samsung SM-A045M
motorola,moto g stylus 5G,motorola moto g stylus 5G
samsung,SM-G998U,samsung SM-G998U
Google Inc.,BE2011,Google Inc. BE2011
samsung,SM-M146B,samsung SM-M146B
Samsung,SM-A042M,Samsung SM-A042M
Redmi,2409BRN2CL,Redmi 2409BRN2CL
motorola,moto g(20),motorola moto g(20)
Redmi,2201117TL,Redmi 2201117TL
Samsung,SM-A307G,Samsung SM-A307G
Google Inc.,5102L,Google Inc. 5102L
Motorola,moto g(50) 5G,Motorola moto g(50) 5G
HUAWEI,STK-LX3,HUAWEI STK-LX3
Motorola,moto g53 5G,Motorola moto g53 5G
samsung,SM-A022M,samsung SM-A022M
Samsung,SM-A032F,Samsung SM-A032F
HUAWEI,FRL-L23,HUAWEI FRL-L23
Motorola,moto g(8) power lite,Motorola moto g(8) power lite
Motorola,moto g(7) plus,Motorola moto g(7) plus
